sample_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,target_name,target
ID1011485656__Dry_Clover_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,Dry_Clover_g,0.0
ID1011485656__Dry_Dead_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,Dry_Dead_g,31.9984
ID1011485656__Dry_Green_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,Dry_Green_g,16.2751
ID1011485656__Dry_Total_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,Dry_Total_g,48.2735
ID1011485656__GDM_g,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,GDM_g,16.275
ID1012260530__Dry_Clover_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,Dry_Clover_g,0.0
ID1012260530__Dry_Dead_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,Dry_Dead_g,0.0
ID1012260530__Dry_Green_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,Dry_Green_g,7.6
ID1012260530__Dry_Total_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,Dry_Total_g,7.6
ID1012260530__GDM_g,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,GDM_g,7.6
ID1025234388__Dry_Clover_g,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,Dry_Clover_g,6.05
ID1025234388__Dry_Dead_g,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,Dry_Dead_g,0.0
ID1025234388__Dry_Green_g,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,Dry_Green_g,0.0
ID1025234388__Dry_Total_g,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,Dry_Total_g,6.05
ID1025234388__GDM_g,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,GDM_g,6.05
ID1028611175__Dry_Clover_g,train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,Dry_Clover_g,0.0
ID1028611175__Dry_Dead_g,train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,Dry_Dead_g,30.9703
ID1028611175__Dry_Green_g,train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,Dry_Green_g,24.2376
ID1028611175__Dry_Total_g,train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,Dry_Total_g,55.2079
ID1028611175__GDM_g,train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,GDM_g,24.2376
ID1035947949__Dry_Clover_g,train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,Dry_Clover_g,0.4343
ID1035947949__Dry_Dead_g,train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,Dry_Dead_g,23.2239
ID1035947949__Dry_Green_g,train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,Dry_Green_g,10.5261
ID1035947949__Dry_Total_g,train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,Dry_Total_g,34.1844
ID1035947949__GDM_g,train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,GDM_g,10.9605
ID1036339023__Dry_Clover_g,train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,Dry_Clover_g,23.0755
ID1036339023__Dry_Dead_g,train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,Dry_Dead_g,2.6135
ID1036339023__Dry_Green_g,train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,Dry_Green_g,32.191
ID1036339023__Dry_Total_g,train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,Dry_Total_g,57.88
ID1036339023__GDM_g,train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,GDM_g,55.2665
ID1049634115__Dry_Clover_g,train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,Dry_Clover_g,1.5083
ID1049634115__Dry_Dead_g,train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,Dry_Dead_g,3.0167
ID1049634115__Dry_Green_g,train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,Dry_Green_g,13.575
ID1049634115__Dry_Total_g,train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,Dry_Total_g,18.1
ID1049634115__GDM_g,train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,GDM_g,15.0833
ID1051144034__Dry_Clover_g,train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,Dry_Clover_g,55.32
ID1051144034__Dry_Dead_g,train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,Dry_Dead_g,0.0
ID1051144034__Dry_Green_g,train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,Dry_Green_g,0.0
ID1051144034__Dry_Total_g,train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,Dry_Total_g,55.32
ID1051144034__GDM_g,train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,GDM_g,55.32
ID1052620238__Dry_Clover_g,train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,Dry_Clover_g,0.0
ID1052620238__Dry_Dead_g,train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,Dry_Dead_g,11.2291
ID1052620238__Dry_Green_g,train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,Dry_Green_g,20.1707
ID1052620238__Dry_Total_g,train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,Dry_Total_g,31.3998
ID1052620238__GDM_g,train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,GDM_g,20.1707
ID105271783__Dry_Clover_g,train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,Dry_Clover_g,5.2698
ID105271783__Dry_Dead_g,train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,Dry_Dead_g,8.5635
ID105271783__Dry_Green_g,train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,Dry_Green_g,27.6667
ID105271783__Dry_Total_g,train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,Dry_Total_g,41.5
ID105271783__GDM_g,train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,GDM_g,32.9365
ID1053972079__Dry_Clover_g,train/ID1053972079.jpg,2015/9/4,Tas,Clover,0.56,2.5,Dry_Clover_g,21.0801
ID1053972079__Dry_Dead_g,train/ID1053972079.jpg,2015/9/4,Tas,Clover,0.56,2.5,Dry_Dead_g,7.9393
ID1053972079__Dry_Green_g,train/ID1053972079.jpg,2015/9/4,Tas,Clover,0.56,2.5,Dry_Green_g,1.3688
ID1053972079__Dry_Total_g,train/ID1053972079.jpg,2015/9/4,Tas,Clover,0.56,2.5,Dry_Total_g,30.3882
ID1053972079__GDM_g,train/ID1053972079.jpg,2015/9/4,Tas,Clover,0.56,2.5,GDM_g,22.4489
ID1058383417__Dry_Clover_g,train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,0.62,2.0,Dry_Clover_g,0.1
ID1058383417__Dry_Dead_g,train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,0.62,2.0,Dry_Dead_g,9.5
ID1058383417__Dry_Green_g,train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,0.62,2.0,Dry_Green_g,13.1
ID1058383417__Dry_Total_g,train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,0.62,2.0,Dry_Total_g,22.7
ID1058383417__GDM_g,train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,0.62,2.0,GDM_g,13.2
ID1062837331__Dry_Clover_g,train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,Dry_Clover_g,19.98
ID1062837331__Dry_Dead_g,train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,Dry_Dead_g,3.9623
ID1062837331__Dry_Green_g,train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,Dry_Green_g,35.4077
ID1062837331__Dry_Total_g,train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,Dry_Total_g,59.35
ID1062837331__GDM_g,train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,GDM_g,55.3877
ID1070112260__Dry_Clover_g,train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.6,6.0,Dry_Clover_g,0.0
ID1070112260__Dry_Dead_g,train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.6,6.0,Dry_Dead_g,9.8765
ID1070112260__Dry_Green_g,train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.6,6.0,Dry_Green_g,22.1235
ID1070112260__Dry_Total_g,train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.6,6.0,Dry_Total_g,32.0
ID1070112260__GDM_g,train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.6,6.0,GDM_g,22.1235
ID1078930021__Dry_Clover_g,train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,Dry_Clover_g,0.0
ID1078930021__Dry_Dead_g,train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,Dry_Dead_g,5.0189
ID1078930021__Dry_Green_g,train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,Dry_Green_g,32.9811
ID1078930021__Dry_Total_g,train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,Dry_Total_g,38.0
ID1078930021__GDM_g,train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,GDM_g,32.9811
ID1084819986__Dry_Clover_g,train/ID1084819986.jpg,2015/9/4,Tas,Clover,0.69,3.1667,Dry_Clover_g,21.4551
ID1084819986__Dry_Dead_g,train/ID1084819986.jpg,2015/9/4,Tas,Clover,0.69,3.1667,Dry_Dead_g,13.0742
ID1084819986__Dry_Green_g,train/ID1084819986.jpg,2015/9/4,Tas,Clover,0.69,3.1667,Dry_Green_g,2.6819
ID1084819986__Dry_Total_g,train/ID1084819986.jpg,2015/9/4,Tas,Clover,0.69,3.1667,Dry_Total_g,37.2112
ID1084819986__GDM_g,train/ID1084819986.jpg,2015/9/4,Tas,Clover,0.69,3.1667,GDM_g,24.137
ID1088965591__Dry_Clover_g,train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,0.89,43.0,Dry_Clover_g,0.0
ID1088965591__Dry_Dead_g,train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,0.89,43.0,Dry_Dead_g,0.3443
ID1088965591__Dry_Green_g,train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,0.89,43.0,Dry_Green_g,59.5557
ID1088965591__Dry_Total_g,train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,0.89,43.0,Dry_Total_g,59.9
ID1088965591__GDM_g,train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,0.89,43.0,GDM_g,59.5557
ID1098771283__Dry_Clover_g,train/ID1098771283.jpg,2015/11/9,Tas,Clover,0.48,2.6667,Dry_Clover_g,8.376
ID1098771283__Dry_Dead_g,train/ID1098771283.jpg,2015/11/9,Tas,Clover,0.48,2.6667,Dry_Dead_g,15.1673
ID1098771283__Dry_Green_g,train/ID1098771283.jpg,2015/11/9,Tas,Clover,0.48,2.6667,Dry_Green_g,0.4528
ID1098771283__Dry_Total_g,train/ID1098771283.jpg,2015/11/9,Tas,Clover,0.48,2.6667,Dry_Total_g,23.9961
ID1098771283__GDM_g,train/ID1098771283.jpg,2015/11/9,Tas,Clover,0.48,2.6667,GDM_g,8.8287
ID1103883611__Dry_Clover_g,train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,Dry_Clover_g,0.0
ID1103883611__Dry_Dead_g,train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,Dry_Dead_g,12.9166
ID1103883611__Dry_Green_g,train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,Dry_Green_g,82.7834
ID1103883611__Dry_Total_g,train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,Dry_Total_g,95.7
ID1103883611__GDM_g,train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,GDM_g,82.7834
ID1108283583__Dry_Clover_g,train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,Dry_Clover_g,5.773
ID1108283583__Dry_Dead_g,train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,Dry_Dead_g,7.2162
ID1108283583__Dry_Green_g,train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,Dry_Green_g,40.4108
ID1108283583__Dry_Total_g,train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,Dry_Total_g,53.4
ID1108283583__GDM_g,train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,GDM_g,46.1838
